#==================================================
#    Mayadas-Shatzkes Resistivity Calculation
#==================================================
# PARAMETERS
# Option of calculation :  1
# Option of error bar   :  2
# Constant error bar    :      2.00000E-02
#==================================================
# 1- 0 : Debye temperature (K) :                       2.15000E+02
# Limits :     1.95000E+02    2.30000E+02   F   F
#==================================================
# 2- 0 : Residual resistivity (microOhm.cm) :          2.11000E+00
# Limits :     2.00000E+00    1.00000E-02   F   F
#==================================================
# 3- 0 : R - Grain boundary scattering parameter :     3.90000E-01
# Limits :     5.00000E-02    1.50000E-01   F   F
#==================================================
# 4- 0 : p - Interface scattering parameter :          1.00000E+00
# Limits :     7.00000E-01    9.00000E-01   F   F
#==================================================
# 5- 0 : Film thickness (nm) :                         1.00000E+01
# Limits :     4.00000E+00    6.00000E+00   F   F
#==================================================
# 6- 0 : Grain size (nm) :                             1.00000E+01
# Limits :     3.00000E+00    7.00000E+00   F   F
#=======================================================================================
# Reliance factors
# Chi2      :       1.85530E+03
# RBragg    :       5.79284E-02
# RBraggexp :       1.97476E-03
# Goodness  :       2.93344E+01
#=======================================================================================
#                   Temperature      Experimental_Resistivity  Sig_Experimental_Resistivity       Theoretical_Resistivity
               0.2999926453E+03              0.1079411567E+02              0.2000000000E-01              0.1091239586E+02
               0.2999985046E+03              0.1079436030E+02              0.2000000000E-01              0.1091242654E+02
               0.3000005493E+03              0.1079381647E+02              0.2000000000E-01              0.1091243725E+02
               0.2999945984E+03              0.1079392903E+02              0.2000000000E-01              0.1091240609E+02
               0.2999930878E+03              0.1079399012E+02              0.2000000000E-01              0.1091239818E+02
               0.3000014496E+03              0.1079379074E+02              0.2000000000E-01              0.1091244196E+02
               0.3000033417E+03              0.1079413504E+02              0.2000000000E-01              0.1091245187E+02
               0.3000027466E+03              0.1079408352E+02              0.2000000000E-01              0.1091244876E+02
               0.2999989014E+03              0.1079413508E+02              0.2000000000E-01              0.1091242862E+02
               0.2999976501E+03              0.1079389363E+02              0.2000000000E-01              0.1091242207E+02
               0.3000093994E+03              0.1079409955E+02              0.2000000000E-01              0.1091248359E+02
               0.2999964600E+03              0.1079380023E+02              0.2000000000E-01              0.1091241584E+02
               0.2999918976E+03              0.1079391939E+02              0.2000000000E-01              0.1091239195E+02
               0.2999954071E+03              0.1079396118E+02              0.2000000000E-01              0.1091241032E+02
               0.3000007019E+03              0.1079373922E+02              0.2000000000E-01              0.1091243805E+02
               0.3000041962E+03              0.1079391613E+02              0.2000000000E-01              0.1091245635E+02
               0.2999934540E+03              0.1079360391E+02              0.2000000000E-01              0.1091240010E+02
               0.3000018005E+03              0.1079365551E+02              0.2000000000E-01              0.1091244380E+02
               0.3000037079E+03              0.1079380352E+02              0.2000000000E-01              0.1091245379E+02
               0.3000023041E+03              0.1079390323E+02              0.2000000000E-01              0.1091244644E+02
               0.2999989929E+03              0.1079402886E+02              0.2000000000E-01              0.1091242910E+02
               0.2999986572E+03              0.1079409638E+02              0.2000000000E-01              0.1091242734E+02
               0.2999897003E+03              0.1079388398E+02              0.2000000000E-01              0.1091238044E+02
               0.3000005951E+03              0.1079382290E+02              0.2000000000E-01              0.1091243749E+02
               0.3000064087E+03              0.1079403533E+02              0.2000000000E-01              0.1091246793E+02
               0.3000033112E+03              0.1079429913E+02              0.2000000000E-01              0.1091245171E+02
               0.2999973450E+03              0.1079410289E+02              0.2000000000E-01              0.1091242047E+02
               0.2999974976E+03              0.1079388398E+02              0.2000000000E-01              0.1091242127E+02
               0.3000041504E+03              0.1079375208E+02              0.2000000000E-01              0.1091245611E+02
               0.2999986572E+03              0.1079367159E+02              0.2000000000E-01              0.1091242734E+02
               0.2999966125E+03              0.1079370374E+02              0.2000000000E-01              0.1091241664E+02
               0.2999984589E+03              0.1079347840E+02              0.2000000000E-01              0.1091242630E+02
               0.3000006409E+03              0.1079402231E+02              0.2000000000E-01              0.1091243773E+02
               0.3000005493E+03              0.1079347844E+02              0.2000000000E-01              0.1091243725E+02
               0.3000012970E+03              0.1079354925E+02              0.2000000000E-01              0.1091244117E+02
               0.3000008087E+03              0.1079391939E+02              0.2000000000E-01              0.1091243861E+02
               0.2999984589E+03              0.1079346550E+02              0.2000000000E-01              0.1091242630E+02
               0.2999976959E+03              0.1079370060E+02              0.2000000000E-01              0.1091242231E+02
               0.2999992065E+03              0.1079392272E+02              0.2000000000E-01              0.1091243022E+02
               0.2999995575E+03              0.1079360073E+02              0.2000000000E-01              0.1091243206E+02
               0.2999940033E+03              0.1079354600E+02              0.2000000000E-01              0.1091240297E+02
               0.3000009003E+03              0.1079371330E+02              0.2000000000E-01              0.1091243909E+02
